"Species";"Location";"Sample";"Heterozygosity_min";"Heterozygosity";"Heterozygosity_max";"Genome_Length_min";"Genome_Length";"Genome_Length_max";"Genome_Repeat_min";"Genome_Repeat";"Genome_Repeat_max";"Genome_Unique_min";"Genome_Unique";"Genome_Unique_max";"Model_Fit_min";"Model_Fit";"Model_Fit_max";"Read_error_rate_min";"Read_error_rate";"Read_error_rate_max";"color";"loc_plot"
"Spilc";"Fa";"SpilcFa4";1.34552;1.347235;1.34895;782195444;782426844.5;782658245;230656066;230724302.5;230792539;551539377;551702541.5;551865706;97.3619;98.58865;99.8154;0.37137;0.37137;0.37137;"#92C5DE";"3.Fa"
"Styph";"Mu";"StyphMu2";0.929738;0.9314315;0.933125;296794163;296870404;296946645;39641570;39651753;39661936;257152594;257218651.5;257284709;95.9492;96.4636;96.978;0.223608;0.223608;0.223608;"#F4A582";"2.Mu"
"Cgale";"Li";"CgaleLi2";0.626671;0.627612;0.628553;722773290;722848808.5;722924327;136898345;136912649;136926953;585874945;585936160;585997375;98.4023;99.10405;99.8058;0.296949;0.296949;0.296949;"#CA0020";"1.Li"
"Spilc";"Fa";"SpilcFa1";1.32931;1.331;1.33269;776110900;776335501;776560102;225057765;225122895;225188025;551053135;551212606;551372077;97.4;98.612;99.824;0.284117;0.284117;0.284117;"#92C5DE";"3.Fa"
"Hgutt";"Li";"HguttLi3";0.259811;0.2604035;0.260996;415604650;415636917.5;415669185;48631147;48634922.5;48638698;366973503;367001995;367030487;97.6567;98.15455;98.6524;0.556424;0.556424;0.556424;"#CA0020";"1.Li"
"Cjuli";"Li";"CjuliLi6";1.19658;1.19719;1.1978;730671331;730756046.5;730840762;150262122;150279543.5;150296965;580409209;580476503;580543797;98.0632;98.9248;99.7864;0.208502;0.208502;0.208502;"#CA0020";"1.Li"
"Styph";"Mu";"StyphMu3";0.92854;0.9300305;0.931521;303075266;303146463.5;303217661;45744331;45755077;45765823;257330935;257391386.5;257451838;96.432;96.97805;97.5241;0.205956;0.205956;0.205956;"#F4A582";"2.Mu"
"Cjuli";"Li";"CjuliLi2";1.22459;1.225235;1.22588;732336115;732428061;732520007;151382616;151401622.5;151420629;580953499;581026438.5;581099378;98.0814;98.9347;99.788;0.226294;0.226294;0.226294;"#CA0020";"1.Li"
"Hgutt";"Li";"HguttLi6";0.397243;0.3978215;0.3984;468779327;468807650;468835973;73012913;73017324.5;73021736;395766413;395790325;395814237;97.8651;98.56075;99.2564;0.660368;0.660368;0.660368;"#CA0020";"1.Li"
"Cgale";"Li";"CgaleLi5";0.605929;0.606739;0.607549;728632627;728704147.5;728775668;141061397;141075243;141089089;587571230;587628904.5;587686579;98.4541;99.15295;99.8518;0.238074;0.238074;0.238074;"#CA0020";"1.Li"
"Cjuli";"Fa";"CjuliFa2";1.11807;1.118745;1.11942;736997953;737091859;737185765;154821802;154841529;154861256;582176151;582250330.5;582324510;98.1072;98.92975;99.7523;0.239181;0.239181;0.239181;"#92C5DE";"3.Fa"
"Cjuli";"Fa";"CjuliFa5";1.10118;1.101855;1.10253;735827320;735916458.5;736005597;153585733;153604338.5;153622944;582241587;582312120;582382653;98.0991;98.9536;99.8081;0.247711;0.247711;0.247711;"#92C5DE";"3.Fa"
"Hgutt";"Mu";"HguttMu1";0.312267;0.312902;0.313537;440369098;440410361.5;440451625;52603209;52608138;52613067;387765889;387802223.5;387838558;97.8054;98.301;98.7966;0.60072;0.60072;0.60072;"#F4A582";"2.Mu"
"Cgale";"Mu";"CgaleMu4";0.601917;0.6027115;0.603506;721582698;721648492;721714286;135377157;135389500.5;135401844;586205541;586258991;586312441;98.3988;99.07315;99.7475;0.239692;0.239692;0.239692;"#F4A582";"2.Mu"
"Hgutt";"Li";"HguttLi4";0.24287;0.2434165;0.243963;416344489;416375300.5;416406112;49432280;49435938;49439596;366912210;366939363;366966516;97.7565;98.26035;98.7642;0.386938;0.386938;0.386938;"#CA0020";"1.Li"
"Cjuli";"Mu";"CjuliMu6";1.24724;1.247915;1.24859;727420966;727513800;727606634;146363593;146382272;146400951;581057373;581131528;581205683;98.0995;98.92935;99.7592;0.241203;0.241203;0.241203;"#F4A582";"2.Mu"
"Cjuli";"Fa";"CjuliFa4";1.15441;1.155135;1.15586;736709385;736810479;736911573;155814094;155835475;155856856;580895292;580975004;581054716;97.9872;98.89435;99.8015;0.234683;0.234683;0.234683;"#92C5DE";"3.Fa"
"Cjuli";"Ga";"CjuliGa5";1.14082;1.14161;1.1424;733839888;733941190;734042492;152682566;152703643;152724720;581157322;581237547;581317772;98.1038;98.95525;99.8067;0.256516;0.256516;0.256516;"#0571B0";"4.Ga"
"Cjuli";"Fa";"CjuliFa1";1.13324;1.13399;1.13474;732637062;732734139.5;732831217;152162743;152182905;152203067;580474320;580551235;580628150;98.0223;98.8737;99.7251;0.245914;0.245914;0.245914;"#92C5DE";"3.Fa"
"Cjuli";"Mu";"CjuliMu4";1.21744;1.21814;1.21884;728637218;728735018.5;728832819;150253181;150273348.5;150293516;578384037;578461670;578539303;98.1217;98.983;99.8443;0.210125;0.210125;0.210125;"#F4A582";"2.Mu"
"Cjuli";"Ga";"CjuliGa3";1.16406;1.16484;1.16562;727876395;727977601.5;728078808;148942990;148963700;148984410;578933404;579013901;579094398;98.049;98.8914;99.7338;0.268914;0.268914;0.268914;"#0571B0";"4.Ga"
"Hgutt";"Li";"HguttLi5";0.260314;0.260724;0.261134;419956927;419981999;420007071;52060231;52063339;52066447;367896697;367918660.5;367940624;98.1;98.59375;99.0875;0.30881;0.30881;0.30881;"#CA0020";"1.Li"
"Scant";"Ga";"ScantGa5";0.476985;0.4775535;0.478122;771271399;771336888;771402377;142112141;142124208;142136275;629159258;629212680.5;629266103;98.0881;98.92855;99.769;0.178039;0.178039;0.178039;"#0571B0";"4.Ga"
"Cjuli";"Mu";"CjuliMu1";1.30731;1.30805;1.30879;728719816;728824498;728929180;152179934;152201795;152223656;576539882;576622703;576705524;98.0989;98.96685;99.8348;0.2238;0.2238;0.2238;"#F4A582";"2.Mu"
"Hgutt";"Mu";"HguttMu5";0.325079;0.3254395;0.3258;423970148;423988573.5;424006999;53707151;53709485;53711819;370262997;370279088.5;370295180;98.4761;98.99455;99.513;0.511761;0.511761;0.511761;"#F4A582";"2.Mu"
"Cjuli";"Li";"CjuliLi3";1.25784;1.258605;1.25937;733745986;733853468.5;733960951;152731516;152753888.5;152776261;581014470;581099580;581184690;98.0661;98.91055;99.755;0.220396;0.220396;0.220396;"#CA0020";"1.Li"
"Cjuli";"Mu";"CjuliMu5";1.23064;1.231485;1.23233;732103291;732218250;732333209;153234168;153258229.5;153282291;578869123;578960020.5;579050918;98.0857;98.9301;99.7745;0.240183;0.240183;0.240183;"#F4A582";"2.Mu"
"Hgutt";"Mu";"HguttMu2";0.311789;0.312398;0.313007;418687210;418710724.5;418734239;51780555;51783463;51786371;366906655;366927261.5;366947868;98.173;98.69285;99.2127;0.463248;0.463248;0.463248;"#F4A582";"2.Mu"
"Cjuli";"Mu";"CjuliMu2";1.22597;1.226695;1.22742;730748536;730849525;730950514;151979015;152000018;152021021;578769522;578849507;578929492;98.1037;98.9741;99.8445;0.237495;0.237495;0.237495;"#F4A582";"2.Mu"
"Cgale";"Mu";"CgaleMu6";0.606146;0.6071305;0.608115;723207844;723282090;723356336;136127756;136141731;136155706;587080088;587140358.5;587200629;98.4209;99.11825;99.8156;0.239343;0.239343;0.239343;"#F4A582";"2.Mu"
"Cjuli";"Ga";"CjuliGa2";1.15203;1.15302;1.15401;730873107;730988969.5;731104832;152912017;152936257.5;152960498;577961090;578052712;578144334;98.0497;98.895;99.7403;0.268461;0.268461;0.268461;"#0571B0";"4.Ga"
"Cjuli";"Li";"CjuliLi1";1.17866;1.17938;1.1801;728604189;728702535;728800881;149437271;149457442;149477613;579166918;579245093;579323268;98.0881;98.9497;99.8113;0.225021;0.225021;0.225021;"#CA0020";"1.Li"
"Scine";"Li";"ScineLi4";0.562497;0.5630235;0.56355;596861458;596915353;596969248;86073235;86081007;86088779;510788223;510834346;510880469;98.1837;98.7132;99.2427;0.232512;0.232512;0.232512;"#CA0020";"1.Li"
"Scine";"Li";"ScineLi5";0.617044;0.6173905;0.617737;586492669;586527402;586562135;79502724;79507432.5;79512141;506989945;507019969.5;507049994;98.4542;99.0281;99.602;0.21579;0.21579;0.21579;"#CA0020";"1.Li"
"Scant";"Mu";"ScantMu2";0.419552;0.4202375;0.420923;771355218;771423367.5;771491517;141684727;141697244.5;141709762;629670492;629726123;629781754;98.1293;98.9323;99.7353;0.157833;0.157833;0.157833;"#F4A582";"2.Mu"
"Cjuli";"Ga";"CjuliGa1";1.1193;1.120245;1.12119;738610288;738726307;738842326;158842071;158867021;158891971;579768218;579859286;579950354;98.1172;98.98465;99.8521;0.227121;0.227121;0.227121;"#0571B0";"4.Ga"
"Scant";"Mu";"ScantMu1";0.460681;0.4612315;0.461782;773066351;773129232.5;773192114;143683234;143694921.5;143706609;629383117;629434311;629485505;98.1312;98.97965;99.8281;0.155712;0.155712;0.155712;"#F4A582";"2.Mu"
"Hgutt";"Li";"HguttLi1";0.254397;0.254774;0.255151;424394471;424409486;424424501;54686022;54687957;54689892;369708449;369721529;369734609;98.6454;99.15005;99.6547;0.457004;0.457004;0.457004;"#CA0020";"1.Li"
"Cjuli";"Ga";"CjuliGa4";1.14368;1.14488;1.14608;738203707;738328799.5;738453892;156169831;156196294.5;156222758;582033876;582132504.5;582231133;98.0909;98.9308;99.7707;0.26894;0.26894;0.26894;"#0571B0";"4.Ga"
"Cgale";"Mu";"CgaleMu1";0.603827;0.6047325;0.605638;725507831;725582887;725657943;139454114;139468541;139482968;586053716;586114345.5;586174975;98.4612;99.1535;99.8458;0.238998;0.238998;0.238998;"#F4A582";"2.Mu"
"Scant";"Ga";"ScantGa3";0.513441;0.5152635;0.517086;788840892;788965927;789090962;160534592;160560037.5;160585483;628306300;628405890;628505480;98.1094;98.9882;99.867;0.254367;0.254367;0.254367;"#0571B0";"4.Ga"
"Cjuli";"Li";"CjuliLi5";1.19917;1.20003;1.20089;734353244;734465789.5;734578335;154304177;154327825;154351473;580049067;580137964;580226861;98.055;98.9363;99.8176;0.224425;0.224425;0.224425;"#CA0020";"1.Li"
"Scant";"Ga";"ScantGa4";0.490196;0.490893;0.49159;772464983;772537561.5;772610140;143940454;143953978.5;143967503;628524528;628583582.5;628642637;98.0956;98.9053;99.715;0.173836;0.173836;0.173836;"#0571B0";"4.Ga"
"Scine";"Li";"ScineLi2";0.754971;0.7553115;0.755652;583360266;583395355;583430444;78616948;78621676.5;78626405;504743318;504773678.5;504804039;98.5447;99.1041;99.6635;0.209858;0.209858;0.209858;"#CA0020";"1.Li"
"Scant";"Mu";"ScantMu5";0.431488;0.4323095;0.433131;774112107;774187147;774262187;145213040;145227116.5;145241193;628899067;628960031;629020995;98.1484;98.96665;99.7849;0.166993;0.166993;0.166993;"#F4A582";"2.Mu"
